 (cabinet)
" Churchill, W (cabinet)"
"Hurwitz, Edward (frus)"
"HurÃ©, Francis (briefing)"
"Huré, Francis (frus)"
"Husain, M. Arshad (frus)"
"Husain, M. Azim (clinton)"
"Husain, M. Azim (frus)"
"Husain, Zakir (briefing)"
"Husain, Zakir (frus)"
"Husak, Gustav (briefing)"
"Husak, Gustav (clinton)"
"Husak, Gustav (frus)"
"Hushek, Thomas (clinton)"
"Huso, Ravic R. (briefing)"
"Huso, Ravic R. (frus)"
"Hussain, Rashad (clinton)"
"Hussain, Zakir (clinton)"
"Hussaini, Jamal Bey (clinton)"
"Hussaini, Jamal Bey (frus)"
"Hussein al--Tikriti, Saddam; Hussein, Saddam; Hussein, Saddam al-Tikriti (clinton)"
"Hussein al-Tikriti, Saddam (briefing)"
"Hussein al-Tikriti, Saddam (frus)"
Hussein bin Talal (briefing)
Hussein bin Talal (frus)
"Hussein, Abdul Hak (frus)"
"Hussein, Ahmad (frus)"
"Hussein, Ahmad, Lieutenant Colonel (clinton)"
"Hussein, Ahmad; Hussein, Ahmed (clinton)"
"Hussein, Ahmed (frus)"
"Hussein; Hussein I; Hussein I ibn Talal; Hussein I, ibn Talal; Hussein bin Talal; Hussein ibn Talal; Hussein, I, ibn Talal; Hussein, Ibn Talal; Hussein, King (clinton)"
"Husseini, Jamal al- (briefing)"
"Husseini, Jamal al- (clinton)"
"Husseini, Jamal al- (frus)"
"Hussey, William Bertrand (frus)"
"Huston, Cloyce K. (clinton)"
"Huston, Cloyce K. (frus)"
"Huston, Tom C. (frus)"
"Hutar, Patricia (clinton)"
"Hutar, Patricia (frus)"
"Hutchenson, John H. (frus)"
"Hutcheson, Richard G., III (frus)"
"Hutcheson, Richard; Hutcheson, Richard G., III (clinton)"
"Hutchings, Jill (clinton)"
"Hutchinson, H.F., Jr. (frus)"
"Hutchinson, R (cabinet)"
"Hutchison, Barbara (frus)"
"Hutchison, J (cabinet)"
"Hutchison, R (cabinet)"
"Hutchison, Stephanie (clinton)"
"Huu, Tran Van (briefing)"
"Huu, Tran Van (frus)"
Huy Kanthoul (briefing)
Huy Kanthoul (clinton)
Huy Kanthoul (frus)
"Huydecoper, Jan L.R. (clinton)"
"Huydecoper, Jonkheer J.L.R. (clinton)"
"Huydecoper, Jonkheer J.L.R. (frus)"
"Huyler, Coulter D., Jr. (clinton)"
"Huyler, Coulter D., Jr. (frus)"
Huynh Van Cao (briefing)
Huynh Van Cao (clinton)
Huynh Van Cao (frus)
"Huynh Van Cao, Brigadier General (clinton)"
Huynh Van Lang (clinton)
Huynh Van Lang (frus)
Huynh Van Ton (briefing)
Huynh Van Ton (frus)
"Hyatt, Amy Jane (briefing)"
"Hyatt, Amy Jane (frus)"
"Hybels, Lynne (clinton)"
"Hyde, Dana (clinton)"
"Hyde, Henry J. (briefing)"
"Hyde, Henry J. (clinton)"
"Hyde, Henry J. (cpdoc)"
"Hyde, Henry J. (frus)"
"Hyde, James N. (briefing)"
"Hyde, James N. (clinton)"
"Hyde, James N. (frus)"
"Hyde, Jeanette W. (briefing)"
"Hyde, Jeanette W. (frus)"
"Hyde, Louis K., Jr. (frus)"
"Hyde, Rosel H. (briefing)"
"Hyde, Rosel H. (clinton)"
"Hyde, Rosel H. (frus)"
"Hyland, Jason (clinton)"
"Hyland, William G. (briefing)"
"Hyland, William G. (frus)"
"Hyland, William; Hyland, William G.; Hyland, William, G. (clinton)"
"Hyland, William; Hyland, William G.; Hyland, William, G. (kissinger)"
"Hylton Foster, H (cabinet)"
"Hylton-Foster, H (cabinet)"
"Hyman, Mark (clinton)"
"Hyman, Semah Cecil (briefing)"
"Hyman, Semah Cecil (frus)"
"Hynard, W (cabinet)"
"Hynd, J (cabinet)"
Hyndley (briefing)
Hyndley (cabinet)
Hyndley (frus)
"Hyoung-Chan, Choe (clinton)"
"Hystad, Carlisle (clinton)"
"Hystad, Carlisle (frus)"
"Hyun, Roh Moo (briefing)"
"Hyun, Roh Moo (frus)"
I. Brezhnev Leonid (cpdoc)
I. Lopes Paulo (cpdoc)
I. Vertes (cpdoc)
Iakovos (briefing)
Iakovos (frus)
"Iakovos; Iakovos, Archbishop (clinton)"
"Iakovos; Iakovos, Archbishop (kissinger)"
"Ibanez Del Campo, Carlos; Ibanez del Campo, General Carlos (clinton)"
"Ibarra Munoz, David (briefing)"
"Ibarra Munoz, David (clinton)"
"Ibarra Munoz, David (frus)"
"IbaÃ±ez Ojeda, Pedro (briefing)"
"Ibañez Del Campo, Carlos (cpdoc)"
"Ibañez Ojeda, Pedro (frus)"
"Ibbs, J (cabinet)"
"Ibn Abdul Aziz, Faisal (clinton)"
"Ibn Saud, Abdul Aziz (briefing)"
"Ibn Saud, Abdul Aziz (frus)"
"Ibn Saud, Abdul Aziz; Ibn Saud, Abul Aziz (clinton)"
Ibrahim I (briefing)
Ibrahim I (frus)
"Ibrahim, Moulay Abdallah (briefing)"
"Ibrahim, Moulay Abdallah (clinton)"
"Ibrahim, Moulay Abdallah (frus)"
"IbÃ¡Ã±ez del Campo, Carlos (briefing)"
"Ibáñez del Campo, Carlos (frus)"
"Ice, John (clinton)"
"Ichamada, Hisato (clinton)"
"Ichimada, Hisato (briefing)"
"Ichimada, Hisato (clinton)"
"Ichimada, Hisato (frus)"
"Ickes, Harold L. (briefing)"
"Ickes, Harold L. (frus)"
"Idan, Avner (clinton)"
"Idan, Avner (frus)"
"Iddings, Lewis Morris (frus)"
"Ide, Henry Clay (briefing)"
"Ide, Henry Clay (frus)"
"Ide, W. Carter (frus)"
"Identity 1, 2, etc. (clinton)"
"Identity 1, 2, etc. (frus)"
"Idiaquez, Carlos Roberto Reina (briefing)"
"Idiaquez, Carlos Roberto Reina (frus)"
Idris I (briefing)
Idris I (cpdoc)
Idris I (frus)
Idris I; Idris I al-Senussi; Idris I. (clinton)
"Idzumbuir, Theodore (clinton)"
"Idzumbuir, Theodore (frus)"
"Igler, Hans (briefing)"
"Igler, Hans (frus)"
"Iglesias, Enrique (cpdoc)"
"Iglesias, Hector Norberto (briefing)"
"Iglesias, Hector Norberto (frus)"
"Ignatieff, George (briefing)"
"Ignatieff, George (clinton)"
"Ignatieff, George (frus)"
"Ignatius, David (clinton)"
"Ignatius, Paul R. (briefing)"
"Ignatius, Paul R. (clinton)"
"Ignatius, Paul R. (frus)"
"Ignatyev, Semyen Denisovich (briefing)"
"Ignatyev, Semyen Denisovich (clinton)"
"Ignatyev, Semyen Denisovich (frus)"
"Iguchi, Sadao (briefing)"
"Iguchi, Sadao (clinton)"
"Iguchi, Sadao (frus)"
"Ikeda, Hayato (briefing)"
"Ikeda, Hayato (frus)"
"Ikeda, Hayato; Ikeda, Hiyato (clinton)"
"Ikle, Fred; Ikle, Fred C.; Ikle, Frederick C. (clinton)"
"Ikle, Fred; Ikle, Fred C.; Ikle, Frederick C. (kissinger)"
"IklÃ©, Fred Charles (briefing)"
"Iklé, Fred Charles (frus)"
"Iksel, Settar (briefing)"
"Iksel, Settar (clinton)"
"Iksel, Settar (frus)"
Il Kwon Chung (clinton)
"Il Sung, Kim (cpdoc)"
"Ilah, Abdul (briefing)"
"Ilah, Abdul (frus)"
"Ilah, Abul Amir (clinton)"
"Ilangaratne, Tikiri Bandara (briefing)"
"Ilangaratne, Tikiri Bandara (clinton)"
"Ilangaratne, Tikiri Bandara (frus)"
"Ilangaratne, Tikri Bandara (clinton)"
"Ilchman, Alice Stone (briefing)"
"Ilchman, Alice Stone (frus)"
"Ileo, Joseph (briefing)"
"Ileo, Joseph (clinton)"
"Ileo, Joseph (frus)"
"Ilic, Werner (clinton)"
"Ilichev, (Ilychev, Ilyetschev), Ivan Ivanovich; Ilichev, Ivan Ivanovich (clinton)"
"Ilichev, Ivan Ivanovich (briefing)"
"Ilichev, Ivan Ivanovich (frus)"
"Iliescu, Ion (briefing)"
"Iliescu, Ion (frus)"
"Iliescu, Marin (clinton)"
"Iliescu, Marin (frus)"
"Iliff, Sir William; Iliff, Sir William A.B. (clinton)"
"Iliff, William A.B. (frus)"
"Iliou, Ilias (briefing)"
"Iliou, Ilias (frus)"
"Ilkson, Jessie (clinton)"
"Illanes Benitez, Osvaldo (briefing)"
"Illanes Benitez, Osvaldo (frus)"
"Illanes Fernandez, Javier (frus)"
"Illia, Arturo Umberto (briefing)"
"Illia, Arturo Umberto (frus)"
"Illia, Arturo; Illia, Arturo Umberto (clinton)"
"Illingworth, A (cabinet)"
"Illingworth, H (cabinet)"
"Illueca, Jorge E. (briefing)"
"Illueca, Jorge E. (clinton)"
"Illueca, Jorge E. (frus)"
"Illueca, Jorge e. (cpdoc)"
"Ilves, Toomas (briefing)"
"Ilves, Toomas (frus)"
"Imam (Imami), Jumeh (Jamal) (clinton)"
"Imam (Imami), Jumeh (Jamal) (frus)"
"Imam, Hasan (cabinet)"
"Imbert Barrera, Antonio (clinton)"
"Imbert-Barrera, Antonio (briefing)"
"Imbert-Barrera, Antonio (clinton)"
"Imbert-Barrera, Antonio (frus)"
"Imhof, Johannes V. (frus)"
"Imhof, Johannes; Imhof, Johannes V. (clinton)"
"Imlay, Dorothy W. (frus)"
"Imus, Richard H. (frus)"
In Tae-sik (clinton)
In Tae-sik (frus)
In Tam (briefing)
In Tam (clinton)
In Tam (frus)
"Ince, G (cabinet)"
Inchcape (cabinet)
"Inderfurth, Karl ""Rick,""; Inderfurth, Karl F. (Rick); Inderfurth, Karl Frederick (Rick) (clinton)"
"Inderfurth, Karl Frederick (âRickâ) (briefing)"
"Inderfurth, Karl Frederick (“Rick”) (frus)"
"Indyk, Martin (clinton)"
"Indyk, Martin S. (briefing)"
"Indyk, Martin S. (frus)"
"Infanzon, James (clinton)"
"Inge, William Ralph (briefing)"
"Inge, William Ralph (frus)"
"Ingersoll, Charles Jared (briefing)"
"Ingersoll, Charles Jared (frus)"
"Ingersoll, George Pratt (frus)"
"Ingersoll, Jack R.; Ingersoll, John; Ingersoll, John E. (clinton)"
"Ingersoll, John E. (briefing)"
"Ingersoll, John E. (frus)"
"Ingersoll, John J. (clinton)"
"Ingersoll, John J. (cpdoc)"
"Ingersoll, John J. (frus)"
"Ingersoll, Joseph Reed (briefing)"
"Ingersoll, Joseph Reed (frus)"
"Ingersoll, Ralph Isaacs (briefing)"
"Ingersoll, Ralph Isaacs (frus)"
"Ingersoll, Robert Stephen (briefing)"
"Ingersoll, Robert Stephen (frus)"
"Ingersoll, Robert; Ingersoll, Robert S.; Ingersoll, Robert Stephen; Ingersoll, Robert, S. (clinton)"
"Ingersoll, Robert; Ingersoll, Robert S.; Ingersoll, Robert Stephen; Ingersoll, Robert, S. (kissinger)"
"Ingersoll, S.H. (frus)"
"Ingersoll, Stuart H. (briefing)"
"Ingersoll, Stuart H. (frus)"
"Ingersoll, Vice Admiral Stuart H. (clinton)"
"Inglis, Thomas B. (clinton)"
"Inglis, Thomas B. (frus)"
"Ingraham, Edward C, Jr. (clinton)"
"Ingraham, Edward C. (clinton)"
"Ingraham, Edward C., Jr. (frus)"
"Ingraham, Hubert A. (briefing)"
"Ingraham, Hubert A. (frus)"
"Ingram, George M. (briefing)"
"Ingram, George M. (clinton)"
"Ingram, George M. (frus)"
Inman (cabinet)
"Inman, Bobby Ray (briefing)"
"Inman, Bobby Ray (clinton)"
"Inman, Bobby Ray (frus)"
"Inman, Jerry (frus)"
"Inonu, General Ismet; Inonu, Ismet (clinton)"
"Inonu, Ismet (briefing)"
"Inonu, Ismet (frus)"
"Inonye, Daniel (clinton)"
"Inostroza Cuevas, Alfonso (briefing)"
"Inostroza Cuevas, Alfonso (frus)"
"Inouye, Daniel K. (briefing)"
"Inouye, Daniel K. (frus)"
"Inouye, Daniel; Inouye, Daniel K.; Inouye, Daniel P. (clinton)"
"Inouye, Daniel; Inouye, Daniel K.; Inouye, Daniel P. (kissinger)"
"Inskip, T (cabinet)"
"International Criminal Court, International Criminal Court (clinton)"
Inverforth (cabinet)
"Ioanes, Raymond A. (clinton)"
"Ioanes, Raymond A. (frus)"
"Ioannides, Brigadier Gen. Dimitrios; Ioannides, Lieutenant Colonel Dimitrios (clinton)"
"Ioannides, Dimitrios (briefing)"
"Ioannides, Dimitrios (frus)"
"Ioannides, George (clinton)"
"Ioannides, George (frus)"
"Ionescu, Nicolae (briefing)"
"Ionescu, Nicolae (cpdoc)"
"Ionescu, Nicolae (frus)"
"Ionescu, Take (briefing)"
"Ionescu, Take (frus)"
"Ionescu, Vergiliu (clinton)"
"Ionescu, Vergiliu (frus)"
"Iqbal, Anwar (clinton)"
"Ireland, Phillip W. (clinton)"
"Ireland, Phillip W. (frus)"
"Ireland, Ray W. (frus)"
"Iribarren Borges, Ignacio (briefing)"
"Iribarren Borges, Ignacio (clinton)"
"Iribarren Borges, Ignacio (frus)"
"Irmak, Mahmut Sadi (briefing)"
"Irmak, Mahmut Sadi (clinton)"
"Irmak, Mahmut Sadi (frus)"
"Ironsi, Johnson Aguiyi (briefing)"
"Ironsi, Johnson Aguiyi (frus)"
"Ironsi, Major General Johnson Aguiyi (clinton)"
"Ironside, E (cabinet)"
"Ironside, W (cabinet)"
"Irvin, Admiral William (clinton)"
"Irvin, William (frus)"
"Irvine, A (cabinet)"
"Irving, Earl Michael (briefing)"
"Irving, Earl Michael (frus)"
"Irving, Frederick (briefing)"
"Irving, Frederick (clinton)"
"Irving, Frederick (cpdoc)"
"Irving, Frederick (frus)"
"Irving, Washington (briefing)"
"Irving, Washington (frus)"
Irwin (cabinet)
"Irwin, James C. (briefing)"
"Irwin, James C. (clinton)"
"Irwin, James C. (frus)"
"Irwin, John A., II.; Irwin, John M., II; Irwin, John N.; Irwin, John N. II; Irwin, John N., II; Irwin, John N., II.; Irwin, John N.,II; Irwin, John, II (clinton)"
"Irwin, John Nichol (briefing)"
"Irwin, John Nichol (frus)"
"Irwin, John Nichol, II (briefing)"
"Irwin, John Nichol, II (frus)"
"Irwin, Matthew (clinton)"
"Irwin, Wallace (clinton)"
"Irwin, Wallace (frus)"
"Irwin, Will (briefing)"
"Irwin, Will (frus)"
"Irwin, William Wallace (briefing)"
"Irwin, William Wallace (frus)"
"Iryani, Qadi Abd al Rahman al- (briefing)"
"Iryani, Qadi Abd al Rahman al- (frus)"
"Iryani, Qadi Abd al Rahman al-; Iryani, Qadi Abd al-Rahman al- (clinton)"
Isa bin Salman Al-Khalifa (briefing)
Isa bin Salman Al-Khalifa (frus)
"Isaacs, Allan (frus)"
"Isaacs, Arnold M. (briefing)"
"Isaacs, Arnold M. (frus)"
"Isaacs, G (cabinet)"
"Isaacs, Gerald Rufus (briefing)"
"Isaacs, Gerald Rufus (frus)"
"Isaacson, Walter (clinton)"
"Isbister, James (briefing)"
"Isbister, James (frus)"
"Iscol, Zachary (clinton)"
"Isham, Heyward (briefing)"
"Isham, Heyward (clinton)"
"Isham, Heyward (frus)"
"Ishibashi, Tanzan (briefing)"
"Ishibashi, Tanzan (clinton)"
"Ishibashi, Tanzan (frus)"
Ishii (cabinet)
"Ishii, Kikujiro (briefing)"
"Ishii, Kikujiro (frus)"
"Ishii, Mitsujiro (briefing)"
"Ishii, Mitsujiro (clinton)"
"Ishii, Mitsujiro (frus)"
"Ishino, Shinichi (briefing)"
"Ishino, Shinichi (clinton)"
"Ishino, Shinichi (frus)"
"Isik, Hasan; Isik, Hasan Esat (clinton)"
"Islam, Syed Nazrul (briefing)"
"Islam, Syed Nazrul (clinton)"
"Islam, Syed Nazrul (frus)"
Islington (cabinet)
"Ismail, Abd al-Fattah (briefing)"
"Ismail, Abd al-Fattah (frus)"
"Ismail, Amirah (clinton)"
"Ismail, Dato Mohamed bin Mohamed Yosef (briefing)"
"Ismail, Dato Mohamed bin Mohamed Yosef (clinton)"
"Ismail, Dato Mohamed bin Mohamed Yosef (frus)"
"Ismail, Hafez (briefing)"
"Ismail, Hafez (frus)"
"Ismail, Hafez; Ismail, Hafiz (clinton)"
"Ismail, Mohammed Zakariya (frus)"
Ismay (cabinet)
"Ismay, Baron Hastings Lionel; Ismay, General Lord Hasings Lionel; Ismay, Hastings L.; Ismay, Lord (Hastings Lionel Ismay) (clinton)"
"Ismay, H (cabinet)"
"Ismay, Hastings Lionel (briefing)"
"Ismay, Hastings Lionel (frus)"
"Isom, Harriet W. (briefing)"
"Isom, Harriet W. (frus)"
"Ispahani, Haqqan (clinton)"
"Israelyan (Issraelyan), Viktor (frus)"
"Israelyan, Victor L. (frus)"
"Issoufou, Mahamadou (briefing)"
"Issoufou, Mahamadou (frus)"
"Issraelyan, Viktor Levonovich (clinton)"
"Itoh, William H. (frus)"
"Itoi, Kay (clinton)"
Ivanov (frus)
"Ivanov, Gjorge (briefing)"
"Ivanov, Gjorge (frus)"
"Ivanov, Igor A. (clinton)"
"Ivanov, Igor A. (frus)"
"Ivanov, V. S. (frus)"
"Ivanova, Youliana (clinton)"
"IvekoviÄ, Mladen (briefing)"
"Iveković, Mladen (frus)"
"Ivelaw-Chapman, R (cabinet)"
"Ives, Donna (clinton)"
"Ives, Irving M. (briefing)"
"Ives, Irving M. (clinton)"
"Ives, Irving M. (frus)"
"Ivy, Michel (clinton)"
"Ivy, Michel (frus)"
"Iyalla, Joseph T. F. (clinton)"
"Iyalla, Joseph T. F. (frus)"
"Izaguirre, Alejandro (cpdoc)"
"Izaguirre, Carlos (frus)"
"Izaguirre, General Carlos (clinton)"
"Izeki, Yujiro (clinton)"
"Izeki, Yujiro (frus)"
"Izetbegovic, Alija (briefing)"
"Izetbegovic, Alija (frus)"
"Izetbegovic, Bakir (briefing)"
"Izetbegovic, Bakir (frus)"
"Izquierdo Gonzalez, Rafael (clinton)"
"Izquierdo Gonzalez, Rafael (frus)"
"IÅik, Hasan Esat (briefing)"
"Işik, Hasan Esat (frus)"
"J Balfour, A (cabinet)"
J Stuart and W Whiteley (cabinet)
"J. F. Lusaka, Paul (cpdoc)"
J. V. W. Shaw (cpdoc)
"J. Vanden Heuvel, William (cpdoc)"
Jabir al-Ahmad al-Jabir al Sabah (briefing)
Jabir al-Ahmad al-Jabir al Sabah (frus)
"Jablonski, Henryk (briefing)"
"Jablonski, Henryk (clinton)"
"Jablonski, Henryk (frus)"
"Jablonsky, Harvey J. (briefing)"
"Jablonsky, Harvey J. (frus)"
"Jablonsky, Major General Harvey J. (clinton)"
"Jabri, Saâdallah al- (briefing)"
"Jabri, Sa‘dallah al- (frus)"
"Jack, Hubert (cpdoc)"
"Jack, Hubert (frus)"
"Jacklin, Nancy (frus)"
"Jackling, R. W. (clinton)"
"Jackling, Roger W. (briefing)"
"Jackling, Roger W. (clinton)"
"Jackling, Roger W. (frus)"
"Jackovich, Victor (briefing)"
"Jackovich, Victor (frus)"
"Jackson C. D.; Jackson, C(harles) D(ouglas); Jackson, C. D.; Jackson, C.D. (clinton)"
"Jackson Farrier, Belinda (clinton)"
"Jackson, Andrew (briefing)"
"Jackson, Andrew (cpdoc)"
"Jackson, Andrew (frus)"
"Jackson, Basil (frus)"
"Jackson, Charles Douglas (briefing)"
"Jackson, Charles Douglas (frus)"
"Jackson, Christine (clinton)"
"Jackson, Clouise (clinton)"
"Jackson, Elmore (frus)"
"Jackson, F (cabinet)"
"Jackson, Henry Martin (âScoopâ) (briefing)"
"Jackson, Henry Martin (“Scoop”) (frus)"
"Jackson, Henry Rootes (briefing)"
"Jackson, Henry Rootes (frus)"
"Jackson, Henry; Jackson, Henry ""Scoop,""; Jackson, Henry (Scoop) M.; Jackson, Henry M.; Jackson, Henry M. ""Scoop,""; Jackson, Henry M. (""Scoop""); Jackson, Henry M. (Scoop); Jackson, Henry M., ""Scoop,"" (clinton)"
"Jackson, Henry; Jackson, Henry ""Scoop,""; Jackson, Henry (Scoop) M.; Jackson, Henry M.; Jackson, Henry M. ""Scoop,""; Jackson, Henry M. (""Scoop""); Jackson, Henry M. (Scoop); Jackson, Henry M., ""Scoop,"" (kissinger)"
"Jackson, Isaac Rand (frus)"
"Jackson, Jeanine Elizabeth (briefing)"
"Jackson, Jeanine Elizabeth (frus)"
"Jackson, Jesse B. (briefing)"
"Jackson, Jesse B. (frus)"
"Jackson, John (clinton)"
"Jackson, John (frus)"
"Jackson, John Brinkerhoff (briefing)"
"Jackson, John Brinkerhoff (frus)"
"Jackson, Karl (clinton)"
"Jackson, Marjorie (clinton)"
"Jackson, Mollie (clinton)"
"Jackson, Robert (frus)"
"Jackson, Robert H. (briefing)"
"Jackson, Robert H. (frus)"
"Jackson, Robert Porter (briefing)"
"Jackson, Robert Porter (frus)"
"Jackson, Sir Robert (clinton)"
"Jackson, Virgil A. (frus)"
"Jackson, Wayne G. (frus)"
"Jackson, William H. (briefing)"
"Jackson, William H. (clinton)"
"Jackson, William H. (frus)"
"Jacob Garn, Edwin (cpdoc)"
"Jacob, C (cabinet)"
"Jacob, Charles D. (briefing)"
"Jacob, Charles D. (frus)"
"Jacob, Ian (frus)"
"Jacobs, George R. (clinton)"
"Jacobs, George R. (frus)"
"Jacobs, Janice (clinton)"
"Jacobs, Janice Lee (briefing)"
"Jacobs, Janice Lee (frus)"
"Jacobs, John Roland (frus)"
"Jacobs, Joseph E. (clinton)"
"Jacobs, Joseph Earle (briefing)"
"Jacobs, Joseph Earle (frus)"
"Jacobs, Martin (frus)"
"Jacobs, Robert L. (clinton)"
"Jacobs, Robert L. (frus)"
"Jacobs, Susan (briefing)"
"Jacobs, Susan (clinton)"
"Jacobs, Susan (frus)"
"Jacobsen, Frithjof (briefing)"
"Jacobsen, Frithjof (frus)"
"Jacobsen, Jake (clinton)"
"Jacobsen, Jake (frus)"
"Jacobsen, William Ludwig (briefing)"
"Jacobsen, William Ludwig (frus)"
"Jacobson, David (clinton)"
"Jacobson, David C. (frus)"
"Jacobson, Harald W. (clinton)"
"Jacobson, Harald W. (frus)"
"Jacobson, Jerome (clinton)"
"Jacobson, Jerome (frus)"
"Jacobson, Linda (clinton)"
"Jacobson, Roberta (clinton)"
"Jacobson, Roberta S. (briefing)"
"Jacobson, Roberta S. (frus)"
"Jacobson, Tracey Ann (briefing)"
"Jacobson, Tracey Ann (frus)"
"Jacobsson, Per (briefing)"
"Jacobsson, Per (clinton)"
"Jacobsson, Per (frus)"
"Jacoby, Julia (clinton)"
"Jacoby, Neil (briefing)"
"Jacoby, Neil (clinton)"
"Jacoby, Neil (frus)"
"Jacovides, Andreas (clinton)"
"Jacovides, Andreas (frus)"
"Jacques, Gracia C. (frus)"
"Jacquet, Marc (briefing)"
"Jacquet, Marc (clinton)"
"Jacquet, Marc (frus)"
"Jacquet, Raymond (frus)"
"Jacquin De Margerie, Roland; Jacquin de Margerie, Roland (clinton)"
"Jacquin de Margerie, Christian (briefing)"
"Jacquin de Margerie, Christian (clinton)"
"Jacquin de Margerie, Christian (frus)"
"Jacquin de Margerie, Roland (briefing)"
"Jacquin de Margerie, Roland (frus)"
"Jacquot, General Pierre Elie (clinton)"
"Jacquot, Pierre Elie (briefing)"
"Jacquot, Pierre Elie (frus)"
"Jaddid, G. (frus)"
"Jaddid, Ghassan (briefing)"
"Jaddid, Ghassan (frus)"
"Jaddid, Lieutenant Colonel Ghassan (clinton)"
"Jaddou, Ur (clinton)"
"Jaeger, Richard (briefing)"
"Jaeger, Richard (clinton)"
"Jaeger, Richard (frus)"
"Jaen, Omar (frus)"
"Jaffe, Dr. Jerome; Jaffe, Jerome H. (clinton)"
"Jaffe, Jerome H. (briefing)"
"Jaffe, Jerome H. (frus)"
"Jaffe, Leonard (clinton)"
"Jaffe, Leonard (frus)"
"Jaffee, Elizabeth (clinton)"
"Jagan, Cheddi (clinton)"
"Jagan, Cheddi B. (briefing)"
"Jagan, Cheddi B. (cpdoc)"
"Jagan, Cheddi B. (frus)"
"Jagan, Cheddi; Jagan, Cheddi B.; Jagan, Janet (clinton)"
"Jagan, Janet (briefing)"
"Jagan, Janet (cpdoc)"
"Jagan, Janet (frus)"
"Jagdeo, Bharrat (briefing)"
"Jagdeo, Bharrat (frus)"
"Jagielski, Mieczyslaw (briefing)"
"Jagielski, Mieczyslaw (frus)"
"Jago, John W. (frus)"
"Jagoda, Barry (frus)"
"Jagota, Satya Pal (clinton)"
"Jagota, Satya Pal (frus)"
"Jagow, Gottlieb E. G. von (briefing)"
"Jagow, Gottlieb E. G. von (frus)"
"Jaguaribe, Hélio (cpdoc)"
"Jahner, Ariel (clinton)"
"Jain, Lakshmi C. (briefing)"
"Jain, Lakshmi C. (clinton)"
"Jain, Lakshmi C. (frus)"
"Jaipal, Rikhi (clinton)"
"Jaipal, Rikhi (cpdoc)"
"Jaipal, Rikhi (frus)"
"Jakab, Peter (clinton)"
"Jakins, H.G. (frus)"
"Jakobson, Max (briefing)"
"Jakobson, Max (clinton)"
"Jakobson, Max (frus)"
"Jakubec, Jaroslav (frus)"
"Jalloud, Abdel Salam (briefing)"
"Jalloud, Abdel Salam (frus)"
"Jalluud (also Juluud and Jalloud), Abd al-Sallam (clinton)"
"Jamali, Dr. Mohammed Fadhil; Jamali, Muhammed Fadil (clinton)"
"Jamali, Mir Zafarullah Khan (briefing)"
"Jamali, Mir Zafarullah Khan (frus)"
"Jamali, Muhammad Fadil (frus)"
"James, Alan G. (cpdoc)"
"James, Alan G. (frus)"
"James, Alice (clinton)"
"James, Charles A. (briefing)"
"James, Charles A. (frus)"
"James, Christopher (clinton)"
"James, M (cabinet)"
"James, Morrice (briefing)"
"James, Morrice (frus)"
"James, Sir Morrice (clinton)"
"James, Virginia H. (frus)"
"Jamieson, Donald (briefing)"
"Jamieson, Donald (clinton)"
"Jamieson, Donald (cpdoc)"
"Jamieson, Donald (frus)"
"Jamieson, J. Kenneth (briefing)"
"Jamieson, J. Kenneth (frus)"
"Jamieson, J. Kenneth; Jamieson, L. Kenneth (clinton)"
"Jamieson, Kenneth D. (clinton)"
"Jamieson, Kenneth D. (frus)"
"Jamison, Edward A. (clinton)"
"Jamison, Edward A. (frus)"
"Jamison, Glen C. (frus)"
"Jamison, Jeffrey (clinton)"
"Jamison, Linda (clinton)"
"Jamjoom, Kareem (clinton)"
"Jammeh, Yahya (briefing)"
"Jammeh, Yahya (frus)"
Jammu and Kashmir (cabinet)
"Janczewski, Zbigniew (briefing)"
"Janczewski, Zbigniew (clinton)"
"Janczewski, Zbigniew (frus)"
"Jandrey, Fred W.; Jandrey, Frederick W. (clinton)"
"Jandrey, Frederick W. (frus)"
"Janeway, Michael C. (briefing)"
"Janeway, Michael C. (frus)"
"Janhunen, Pete (clinton)"
"Jani (Yani); Jani (Yani), General; Jani, Colonel and later General (clinton)"
Jani (frus)
"Janka, Leslie A. (clinton)"
"Janka, Leslie A. (âLesâ) (briefing)"
"Janka, Leslie A. (“Les”) (frus)"
"Jankowitsch, Peter (briefing)"
"Jankowitsch, Peter (frus)"
"Janne, Henri (briefing)"
"Janne, Henri (frus)"
"Jannelli, Pasquale (frus)"
"Janney, Stuart S. (frus)"
"Janow, Seymour J. (clinton)"
"Janow, Seymour J. (frus)"
"Jansa, Janez (briefing)"
"Jansa, Janez (frus)"
"Jansen, Ernest George (briefing)"
"Jansen, Ernest George (frus)"
"Jantzen, Robert J. (clinton)"
"Jantzen, Robert J. (frus)"
"Jara, Anibal (clinton)"
"Jara, Aníbal (frus)"
"Jardim de Matos, Délio (cpdoc)"
"Jardim, Anne (clinton)"
"Jardim, Anne (frus)"
"Jardim, Silva (cpdoc)"
"Jardine, William Marion (briefing)"
"Jardine, William Marion (frus)"
"Jarimillo, Mari-Luci (briefing)"
"Jarimillo, Mari-Luci (frus)"
"Jarman, John (briefing)"
"Jarman, John (frus)"
"Jarman, Pete (briefing)"
"Jarman, Pete (frus)"
"Jaroszewicz, Piotr (briefing)"
"Jaroszewicz, Piotr (clinton)"
"Jaroszewicz, Piotr (frus)"
"Jarpa Reyes, Sergio O. (briefing)"
